Adresse,Nombre de pièces,Époque de construction,Type de location,Loyer minimum (€/m²),Loyer médian (€/m²),Loyer maximum (€/m²)
"Rue de Tracy, 75102 Paris",2 pièces,1971-1990,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",2 pièces,1971-1990,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",2 pièces,après 1990,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",2 pièces,après 1990,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,avant 1946,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,avant 1946,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,1946-1970,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,1946-1970,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,1971-1990,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,1971-1990,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,après 1990,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",3 pièces,après 1990,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,avant 1946,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,avant 1946,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,1946-1970,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,1946-1970,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,1971-1990,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,1971-1990,non meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,après 1990,meublée,16.5,23.5,28.2
"Rue de Tracy, 75102 Paris",4 pièces et plus,après 1990,non meublée,16.5,23.5,28.2
"Rue de Sévigné, 75103 Paris",1 pièce,avant 1946,meublée,26.3,37.5,45.0
"Rue de Sévigné, 75103 Paris",1 pièce,avant 1946,non meublée,23.0,32.9,39.5
"Rue de Sévigné, 75103 Paris",1 pièce,1946-1970,meublée,22.7,32.4,38.9
"Rue de Sévigné, 75103 Paris",1 pièce,1946-1970,non meublée,22.7,32.4,38.9
"Rue de Sévigné, 75103 Paris",1 pièce,1971-1990,meublée,19.4,27.7,33.2
"Rue de Sévigné, 75103 Paris",1 pièce,1971-1990,non meublée,19.4,27.7,33.2
"Rue de Sévigné, 75103 Paris",1 pièce,après 1990,meublée,20.4,29.2,35.0
"Rue de Sévigné, 75103 Paris",1 pièce,après 1990,non meublée,20.4,29.2,35.0
"Rue de Sévigné, 75103 Paris",2 pièces,avant 1946,meublée,16.4,23.4,28.1
"Rue de Sévigné, 75103 Paris",2 pièces,avant 1946,non meublée,16.4,23.4,28.1
"Rue de Sévigné, 75103 Paris",2 pièces,1946-1970,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",2 pièces,1946-1970,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",2 pièces,1971-1990,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",2 pièces,1971-1990,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",2 pièces,après 1990,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",2 pièces,après 1990,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,avant 1946,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,avant 1946,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,1946-1970,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,1946-1970,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,1971-1990,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,1971-1990,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,après 1990,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",3 pièces,après 1990,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",4 pièces et plus,avant 1946,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",4 pièces et plus,avant 1946,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",4 pièces et plus,1946-1970,meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",4 pièces et plus,1946-1970,non meublée,18.8,26.8,32.2
"Rue de Sévigné, 75103 Paris",4 pièces et plus,1971-1990,meublée,18.8,26.8,32.2
